0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
HK.00966,HK.01336,HK.01339,HK.01508,HK.02318,HK.02328,HK.02601,HK.02628,HK.06060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.01812,HK.02002,HK.02314,HK.02689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00257,HK.00270,HK.00371,HK.00855,HK.00895,HK.01065,HK.01129,HK.01363,HK.01790,HK.06136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.01112,HK.01117,HK.01230,HK.01431,HK.01432,HK.01717,HK.02319,HK.06186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00182,HK.00438,HK.00451,HK.00686,HK.00712,HK.00750,HK.00757,HK.00868,HK.00968,HK.01108,HK.01165,HK.01250,HK.01799,HK.03606,HK.03800,HK.03868,HK.06865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00081,HK.00095,HK.00101,HK.00119,HK.00123,HK.00272,HK.00410,HK.00604,HK.00688,HK.00754,HK.00813,HK.00817,HK.00884,HK.00960,HK.01030,HK.01109,HK.01233,HK.01238,HK.01628,HK.01638,HK.01813,HK.01918,HK.01966,HK.02007,HK.02202,HK.02777,HK.03301,HK.03333,HK.03377,HK.03380,HK.03383,HK.03883,HK.03900,HK.06158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00667,HK.00839,HK.01317,HK.01525,HK.01565,HK.01569,HK.01593,HK.01598,HK.01758,HK.01765,HK.01769,HK.01773,HK.01851,HK.01890,HK.01935,HK.01969,HK.02175,HK.02371,HK.02779,HK.03978,HK.06068,HK.06169,HK.06913,HK.09616,HK.09901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00751,HK.00921,HK.01070,HK.01691,HK.02148,HK.06690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00182,HK.00527,HK.00916,HK.00956,HK.01185,HK.01296,HK.01798,HK.02208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00012,HK.00016,HK.00017,HK.00083,HK.01113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00416,HK.00939,HK.00998,HK.01216,HK.01288,HK.01398,HK.01551,HK.01578,HK.01658,HK.01916,HK.01963,HK.01983,HK.01988,HK.02016,HK.02066,HK.02139,HK.02388,HK.02558,HK.03328,HK.03618,HK.03698,HK.03866,HK.03968,HK.03988,HK.06122,HK.06138,HK.06190,HK.06196,HK.06199,HK.06818,HK.09668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00293,HK.00357,HK.00670,HK.00694,HK.00753,HK.01055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00338,HK.00346,HK.00386,HK.00852,HK.01033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00691,HK.00743,HK.00914,HK.01313,HK.02009,HK.03323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.01375,HK.01456,HK.01461,HK.01476,HK.01776,HK.02611,HK.03678,HK.03908,HK.03958,HK.06030,HK.06058,HK.06066,HK.06099,HK.06178,HK.06806,HK.06837,HK.06881,HK.06886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00390,HK.01186,HK.01618,HK.01766,HK.01800,HK.03898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00135,HK.00342,HK.00384,HK.00392,HK.00603,HK.00702,HK.00931,HK.01083,HK.01193,HK.01430,HK.01600,HK.02688,HK.03633,HK.06828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00107,HK.00177,HK.00525,HK.00548,HK.00576,HK.00737,HK.00995,HK.01052,HK.01098,HK.01785,HK.80737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00323,HK.00347,HK.00358,HK.01053,HK.02600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00001,HK.00006,HK.00008,HK.00215,HK.00432,HK.00775,HK.01038,HK.01113,HK.02383,HK.02638,HK.06823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00291,HK.00836,HK.01109,HK.01193,HK.01313,HK.01515,HK.03320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00241,HK.01833,HK.02159,HK.06060,HK.06618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00005,HK.00011,HK.00023,HK.02356,HK.02388,HK.02888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.03097,HK.03175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.01167,HK.01228,HK.01477,HK.01672,HK.01875,HK.01952,HK.02126,HK.02137,HK.02142,HK.02157,HK.02160,HK.02162,HK.02170,HK.02171,HK.02181,HK.02190,HK.02197,HK.02216,HK.02235,HK.02251,HK.02252,HK.02256,HK.02257,HK.02500,HK.02552,HK.02616,HK.03681,HK.06185,HK.06606,HK.06609,HK.06622,HK.06628,HK.06669,HK.06855,HK.06978,HK.06996,HK.06998,HK.09688,HK.09926,HK.09939,HK.09966,HK.09969,HK.09995,HK.09996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00020,HK.01024,HK.01810,HK.02015,HK.02057,HK.03690,HK.06608,HK.09618,HK.09626,HK.09698,HK.09866,HK.09868,HK.09888,HK.09898,HK.09959,HK.09988,HK.09991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.01521,HK.01548,HK.01873,HK.02269,HK.02359,HK.03347,HK.03759,HK.06127,HK.06821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00002,HK.00003,HK.00052,HK.00066,HK.00178,HK.00341,HK.00592,HK.00973,HK.01869,HK.01910,HK.01913,HK.02638,HK.06811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
